[]
"['U72900KA2020PTC140169', 'SHORA SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2019PTC125745', 'JRSPF TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2014PTC073255', 'UOLO TECHNOLOGY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72501KA2019PTC122310', 'GALILEO INNOVATIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2002PTC030982', 'INFINERA INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC156374', 'UNBRANDED GLOBAL TECHNOLOGY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2003PTC032953', 'AQUEST SERVICES (INDIA) PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC133668', 'SOHEY TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2010PTC056203', 'ASSISTIVE NEO TELECOMMUNICATIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2016PTC094522', 'FOXWHIZ TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2017PTC107534', 'XPEDI APPS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2016PTC098107', 'VEERBHADRAA TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2012PTC064701', 'KIRTI INTEGRATED SOLUTIONS INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2015PTC145953', 'BITS AND BYTE IT CONSULTING PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC157504', 'TSPLUS INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC136193', 'M & F MILITE INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
[]
"['U72900KA2017PTC100606', 'V2APP CONSULTANCY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC125679', 'GNANY INFOTECH PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC134513', 'E2Q INFO TECH EASY2WORK PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2012PTC065650', 'ITELEMATICS SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2014PTC077131', 'SHALYA SOFTECH PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2014PTC076572', 'INNOVATIVE LOGIC DESIGN SERVICES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA1990PTC010794', 'I.R. COMPUTER SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC148031', 'HIBYEE SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC128122', 'PVH SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2003PTC032575', 'G-CES SOFTWARE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72501KA2016PTC094658', 'COLLEGIUM VENTURES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC143661', 'ZEROPAY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72100KA2012PTC062693', 'ORCHESTRATE MORTGAGE AND TITLE SERVICES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2017PTC105029', 'SKAIRIPA ENTERTAINMENT PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC130115', 'GABRIELL INNOVATIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2016PTC095482', 'HERSTELL ENGINEERING SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2017PTC102452', 'ADVITIYATANTRAGNAN RESEARCH AND DEVELOPMENT LABS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC139869', 'CHEERZ SPORTING AND ENTERTAINMENT PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2007PTC042915', 'ASIAA DATA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2000PTC028345', 'KESDEE SYSTEMS INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2015PTC083097', 'SAHACHARA INFOTECH PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2018PTC110030', 'OCABBIE TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC148406', 'NEXRIIX PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2019PTC121818', 'STACKBOX SERVICES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2008PTC047540', 'AR2G SOFTWARE SERVICES PRIVATE LIMITED', 'Bangalore', 'Active']"
